event_name,fighter1,fighter2,outcome,win,loss,draw,no_contest,weight_f1,reach_f1,stance_f1,strikes_f1,strike_acc_f1,strikes_absorbed_f1,strike_defense_f1,takedowns_f1,takedown_acc_f1,takedown_def_f1,sub_attempt_f1,age_days_f1,age_f1,outcome_f1,height_in_f1,stance_Orthodox_f1,stance_Southpaw_f1,stance_Switch_f1,weight_f2,reach_f2,stance_f2,strikes_f2,strike_acc_f2,strikes_absorbed_f2,strike_defense_f2,takedowns_f2,takedown_acc_f2,takedown_def_f2,sub_attempt_f2,age_days_f2,age_f2,outcome_f2,height_in_f2,stance_Orthodox_f2,stance_Southpaw_f2,stance_Switch_f2
UFC 268: Usman vs. Covington 2,Colby Covington,Kamaru Usman,loss,0,1,0,0,170,72,Orthodox,4.12,38,2.86,55,4.61,50,75,0.1,12311,32,loss,71,1,0,0,170,76,Switch,4.63,54,2.4,57,3.27,48,100,0.1,12598,34,loss,72,0,0,1
UFC Fight Night: Covington vs. Woodley,Colby Covington,Tyron Woodley,win,1,0,0,0,170,72,Orthodox,4.12,38,2.86,55,4.61,50,75,0.1,11898,32,win,71,1,0,0,170,74,Orthodox,2.36,48,2.76,54,1.06,40,87,0.4,14045,38,win,69,1,0,0
UFC 245: Usman vs. Covington,Colby Covington,Kamaru Usman,loss,0,1,0,0,170,72,Orthodox,4.12,38,2.86,55,4.61,50,75,0.1,11618,31,loss,71,1,0,0,170,76,Switch,4.63,54,2.4,57,3.27,48,100,0.1,11905,32,loss,72,0,0,1
UFC Fight Night: Covington vs. Lawler,Colby Covington,Robbie Lawler,win,1,0,0,0,170,72,Orthodox,4.12,38,2.86,55,4.61,50,75,0.1,11485,31,win,71,1,0,0,170,74,Southpaw,3.5,45,4.16,60,0.68,64,64,0,13650,37,win,71,0,1,0
UFC 225: Whittaker vs. Romero 2,Colby Covington,Rafael Dos Anjos,win,1,0,0,0,170,72,Orthodox,4.12,38,2.86,55,4.61,50,75,0.1,11065,30,win,71,1,0,0,155,70,Southpaw,3.49,46,3.22,61,1.93,37,58,0.6,12279,33,win,68,0,1,0
UFC Fight Night: Brunson vs. Machida,Colby Covington,Demian Maia,win,1,0,0,0,170,72,Orthodox,4.12,38,2.86,55,4.61,50,75,0.1,10841,29,win,71,1,0,0,170,72,Southpaw,1.82,43,2.03,63,2.55,26,61,1,14601,40,win,73,0,1,0
UFC Fight Night: Holm vs. Correia,Colby Covington,Dong Hyun Kim,win,1,0,0,0,170,72,Orthodox,4.12,38,2.86,55,4.61,50,75,0.1,10708,29,win,71,1,0,0,170,76,Southpaw,2.12,49,1.89,58,2.93,43,71,0.6,12996,35,win,74,0,1,0
UFC on FOX: VanZant vs. Waterson,Colby Covington,Bryan Barberena,win,1,0,0,0,170,72,Orthodox,4.12,38,2.86,55,4.61,50,75,0.1,10526,28,win,71,1,0,0,170,72,Southpaw,5.48,48,4.7,45,0.23,28,60,0.5,10090,27,win,72,0,1,0
UFC 202: Diaz vs. McGregor 2,Colby Covington,Max Griffin,win,1,0,0,0,170,72,Orthodox,4.12,38,2.86,55,4.61,50,75,0.1,10407,28,win,71,1,0,0,170,76,Orthodox,4.14,48,3.94,56,1.7,51,66,0.5,11222,30,win,71,1,0,0
UFC Fight Night: MacDonald vs Thompson,Colby Covington,Jonathan Meunier,win,1,0,0,0,170,72,Orthodox,4.12,38,2.86,55,4.61,50,75,0.1,10344,28,win,71,1,0,0,170,75,Switch,3.47,50,1.43,69,0.58,33,58,0,10546,28,win,75,0,0,1
