event_name,fighter1,fighter2,outcome,win,loss,draw,no_contest,weight_f1,reach_f1,stance_f1,strikes_f1,strike_acc_f1,strikes_absorbed_f1,strike_defense_f1,takedowns_f1,takedown_acc_f1,takedown_def_f1,sub_attempt_f1,age_days_f1,age_f1,outcome_f1,height_in_f1,stance_Orthodox_f1,stance_Southpaw_f1,stance_Switch_f1,weight_f2,reach_f2,stance_f2,strikes_f2,strike_acc_f2,strikes_absorbed_f2,strike_defense_f2,takedowns_f2,takedown_acc_f2,takedown_def_f2,sub_attempt_f2,age_days_f2,age_f2,outcome_f2,height_in_f2,stance_Orthodox_f2,stance_Southpaw_f2,stance_Switch_f2
UFC 261: Usman vs. Masvidal 2,Jorge Masvidal,Kamaru Usman,loss,0,1,0,0,170,74,Orthodox,4.22,48,3.01,65,1.54,59,75,0.3,13312,36,loss,71,1,0,0,170,76,Switch,4.63,54,2.4,57,3.27,48,100,0.1,12829,33,loss,72,0,0,1
UFC 251: Usman vs. Masvidal,Jorge Masvidal,Kamaru Usman,loss,0,1,0,0,170,74,Orthodox,4.22,48,3.01,65,1.54,59,75,0.3,13025,35,loss,71,1,0,0,170,76,Switch,4.63,54,2.4,57,3.27,48,100,0.1,12542,32,loss,72,0,0,1
UFC 244: Masvidal vs. Diaz,Jorge Masvidal,Nate Diaz,win,1,0,0,0,170,74,Orthodox,4.22,48,3.01,65,1.54,59,75,0.3,12773,34,win,71,1,0,0,170,76,Southpaw,4.62,45,3.78,53,1.19,30,42,1.4,12618,34,win,72,0,1,0
UFC 239: Jones vs. Santos,Jorge Masvidal,Ben Askren,win,1,0,0,0,170,74,Orthodox,4.22,48,3.01,65,1.54,59,75,0.3,12654,34,win,71,1,0,0,170,73,Orthodox,3.64,49,5.66,36,4.33,55,0,0.9,12771,34,win,71,1,0,0
UFC Fight Night: Till vs. Masvidal,Jorge Masvidal,Darren Till,win,1,0,0,0,170,74,Orthodox,4.22,48,3.01,65,1.54,59,75,0.3,12542,34,win,71,1,0,0,185,74,Southpaw,2.27,46,2.99,58,0.54,41,82,0,9578,26,win,72,0,1,0
UFC 217: Bisping vs. St-Pierre,Jorge Masvidal,Stephen Thompson,loss,0,1,0,0,170,74,Orthodox,4.22,48,3.01,65,1.54,59,75,0.3,12045,33,loss,71,1,0,0,170,75,Orthodox,4.24,43,2.8,58,0.32,45,78,0,12685,34,loss,72,1,0,0
UFC 211: Miocic vs. Dos Santos,Jorge Masvidal,Demian Maia,loss,0,1,0,0,170,74,Orthodox,4.22,48,3.01,65,1.54,59,75,0.3,11870,32,loss,71,1,0,0,170,72,Southpaw,1.82,43,2.03,63,2.55,26,61,1,14433,39,loss,73,0,1,0
UFC on FOX: Shevchenko vs. Pena,Jorge Masvidal,Donald Cerrone,win,1,0,0,0,170,74,Orthodox,4.22,48,3.01,65,1.54,59,75,0.3,11765,32,win,71,1,0,0,170,73,Orthodox,4.43,46,4.49,53,1.18,33,74,1.2,12359,33,win,73,1,0,0
The Ultimate Fighter: Tournament of Champions Finale,Jorge Masvidal,Jake Ellenberger,win,1,0,0,0,170,74,Orthodox,4.22,48,3.01,65,1.54,59,75,0.3,11709,32,win,71,1,0,0,170,71,Orthodox,2.47,39,2.83,60,2.04,47,86,0.4,11573,31,win,69,1,0,0
UFC 201: Lawler vs. Woodley,Jorge Masvidal,Ross Pearson,win,1,0,0,0,170,74,Orthodox,4.22,48,3.01,65,1.54,59,75,0.3,11583,31,win,71,1,0,0,155,69,Orthodox,3.68,40,4.09,62,0.74,35,75,0,11630,31,win,68,1,0,0
