,event_name,fighter1,fighter2,outcome,win,loss,draw,no_contest,weight_f1,reach_f1,stance_f1,strikes_f1,strike_acc_f1,strikes_absorbed_f1,strike_defense_f1,takedowns_f1,takedown_acc_f1,takedown_def_f1,sub_attempt_f1,age_days_f1,age_f1,outcome_f1,height_in_f1,stance_Orthodox_f1,stance_Southpaw_f1,stance_Switch_f1,weight_f2,reach_f2,stance_f2,strikes_f2,strike_acc_f2,strikes_absorbed_f2,strike_defense_f2,takedowns_f2,takedown_acc_f2,takedown_def_f2,sub_attempt_f2,age_days_f2,age_f2,outcome_f2,height_in_f2,stance_Orthodox_f2,stance_Southpaw_f2,stance_Switch_f2
0,UFC 259: Blachowicz vs. Adesanya,Aalon Cruz,Uros Medic,fighter2,0,1,0,0,145.0,78.0,Switch,7.58,39,8.88,58,0.0,0,0,0.0,11490,31.0,fighter2,72,0,0,1,155.0,71.0,Southpaw,19.91,77,0.52,86,0.0,0,100,0.0,10177,27.0,fighter1,73,0,1,0
1,UFC Fight Night: Benavidez vs. Figueiredo,Aalon Cruz,Spike Carlyle,fighter2,0,1,0,0,145.0,78.0,Switch,7.58,39,8.88,58,0.0,0,0,0.0,11119,30.0,fighter2,72,0,0,1,145.0,71.0,Switch,2.55,54,3.85,30,3.34,36,57,0.5,9795,26.0,fighter1,68,0,0,1
2,UFC Fight Night: Henderson vs Dos Anjos,Aaron Phillips,Matt Hobar,fighter2,0,1,0,0,135.0,71.0,Southpaw,1.65,56,3.44,39,0.0,0,44,0.4,9149,25.0,fighter2,69,0,1,0,135.0,70.0,Southpaw,3.23,42,4.27,52,3.66,44,50,0.0,10090,27.0,fighter1,70,0,1,0
3,UFC Fight Night: Kattar vs. Ige,Aaron Phillips,Jack Shore,fighter2,0,1,0,0,135.0,71.0,Southpaw,1.65,56,3.44,39,0.0,0,44,0.4,11302,30.0,fighter2,69,0,1,0,135.0,71.0,Orthodox,3.14,57,1.61,56,5.52,46,100,0.8,9291,25.0,fighter1,68,1,0,0
4,UFC 173: Barao vs Dillashaw,Aaron Phillips,Sam Sicilia,fighter2,0,1,0,0,135.0,71.0,Southpaw,1.65,56,3.44,39,0.0,0,44,0.4,9058,24.0,fighter2,69,0,1,0,145.0,67.0,Orthodox,2.46,33,3.55,59,1.45,43,70,0.9,10339,28.0,fighter1,68,1,0,0
5,UFC Fight Night 3,Aaron Riley,Spencer Fisher,fighter2,0,1,0,0,155.0,69.0,Southpaw,3.45,34,3.78,61,1.18,34,60,0.1,9169,25.0,fighter2,68,0,1,0,155.0,68.0,Southpaw,3.17,43,3.03,64,0.67,30,60,0.8,10844,29.0,fighter1,67,0,1,0
6,UFC on FOX: Johnson vs Moraga,Aaron Riley,Justin Salas,fighter2,0,1,0,0,155.0,69.0,Southpaw,3.45,34,3.78,61,1.18,34,60,0.1,11918,32.0,fighter2,68,0,1,0,155.0,70.0,Southpaw,3.42,43,2.96,68,2.43,20,0,0.0,11459,31.0,fighter1,68,0,1,0
7,UFC 135: Jones vs Rampage,Aaron Riley,Tony Ferguson,fighter2,0,1,0,0,155.0,69.0,Southpaw,3.45,34,3.78,61,1.18,34,60,0.1,11246,30.0,fighter2,68,0,1,0,155.0,76.0,Orthodox,5.15,45,3.78,59,0.42,42,67,1.1,10086,27.0,fighter1,71,1,0,0
8,UFC 37: High Impact,Aaron Riley,Robbie Lawler,fighter2,0,1,0,0,155.0,69.0,Southpaw,3.45,34,3.78,61,1.18,34,60,0.1,7822,21.0,fighter2,68,0,1,0,170.0,74.0,Southpaw,3.5,45,4.16,60,0.68,64,64,0.0,7356,20.0,fighter1,71,0,1,0
9,UFC 91: Couture vs Lesnar,Aaron Riley,Jorge Gurgel,fighter1,1,0,0,0,155.0,69.0,Southpaw,3.45,34,3.78,61,1.18,34,60,0.1,10203,27.0,fighter1,68,0,1,0,155.0,69.0,Orthodox,3.37,32,3.62,62,0.81,23,60,0.5,11617,31.0,fighter2,67,1,0,0
10,UFC 105: Couture vs Vera,Aaron Riley,Ross Pearson,fighter2,0,1,0,0,155.0,69.0,Southpaw,3.45,34,3.78,61,1.18,34,60,0.1,10567,28.0,fighter2,68,0,1,0,155.0,69.0,Orthodox,3.68,40,4.09,62,0.74,35,75,0.0,9180,25.0,fighter1,68,1,0,0
11,UFC 131: Dos Santos vs Carwin,Aaron Rosa,Joey Beltran,fighter2,0,1,0,0,205.0,77.0,Orthodox,4.03,47,4.41,45,0.36,33,85,0.4,10241,28.0,fighter2,76,1,0,0,185.0,75.0,Orthodox,4.92,36,5.27,54,0.48,18,75,0.0,10777,29.0,fighter1,73,1,0,0
12,UFC on FX: Alves vs Kampmann,Aaron Rosa,James Te Huna,fighter2,0,1,0,0,205.0,77.0,Orthodox,4.03,47,4.41,45,0.36,33,85,0.4,10506,28.0,fighter2,76,1,0,0,185.0,75.0,Orthodox,4.04,51,2.99,62,2.75,37,58,0.2,11112,30.0,fighter1,74,1,0,0
13,UFC Fight Night: Condit vs Kampmann,Aaron Simpson,Tim McKenzie,fighter1,1,0,0,0,170.0,73.0,Orthodox,3.6,52,2.53,56,3.78,34,83,0.5,12674,34.0,fighter1,72,1,0,0,185.0,74.0,Orthodox,1.37,54,2.96,44,0.0,0,28,2.1,9751,26.0,fighter2,72,1,0,0
14,UFC on FUEL TV: Sanchez vs Ellenberger,Aaron Simpson,Ronny Markes,fighter2,0,1,0,0,170.0,73.0,Orthodox,3.6,52,2.53,56,3.78,34,83,0.5,13724,37.0,fighter2,72,1,0,0,185.0,75.0,Orthodox,2.17,53,2.43,45,3.13,40,100,0.5,8700,23.0,fighter1,73,1,0,0
15,UFC Fight Night: Maynard vs Diaz,Aaron Simpson,Tom Lawlor,fighter1,1,0,0,0,170.0,73.0,Orthodox,3.6,52,2.53,56,3.78,34,83,0.5,12959,35.0,fighter1,72,1,0,0,205.0,74.0,Southpaw,2.5,42,2.41,60,2.46,32,57,1.4,9738,26.0,fighter2,72,0,1,0
16,UFC on FX: Browne vs Bigfoot,Aaron Simpson,Mike Pierce,fighter2,0,1,0,0,170.0,73.0,Orthodox,3.6,52,2.53,56,3.78,34,83,0.5,13957,38.0,fighter2,72,1,0,0,170.0,71.0,Orthodox,2.62,42,2.36,62,3.08,42,71,0.2,11722,32.0,fighter1,68,1,0,0
17,UFC 136: Edgar vs Maynard 3,Aaron Simpson,Eric Schafer,fighter1,1,0,0,0,170.0,73.0,Orthodox,3.6,52,2.53,56,3.78,34,83,0.5,13594,37.0,fighter1,72,1,0,0,185.0,76.0,Orthodox,1.89,34,3.38,56,1.81,36,50,1.8,12436,34.0,fighter2,75,1,0,0
